Commune;Population standardisée par la consommation de soins de médecine générale par tranche d'âge;APL aux médecins généralistes
01248;1997,424528;3,796816652
01249;9777,259102;2,402005647
01250;1837,788349;2,392486359
01252;778,0592823;2,327883889
01254;1979,801201;4,295719655
01255;611,613218;1,135125001
01257;341,6054556;1,441495997
01258;1151,132763;3,065839339
01259;653,3248257;2,057939806
01260;286,2191961;2,979834379
01261;641,5011407;3,210995662
01262;6869,454498;3,277319485
01263;3794,165646;2,579172732
01264;1018,851747;2,822212838
01265;3341,925653;2,564498904
01266;2679,160368;2,94986102
01267;1004,65077;3,168618759
01268;258,2779599;2,275703407
01269;3442,501064;1,995240911
01272;1551,506065;2,911300464
01273;1728,072261;3,19461783
01274;612,7772204;2,265729132
01275;2502,825601;2,325268926
01276;1547,895857;3,422038535
01277;121,3800156;1,203828586
01279;97,56335283;1,134421368
01280;146,7275585;0,004363891
01281;4158,007422;2,906684954
01282;259,6519674;1,911943286
01283;22071,03458;2,528448313
01284;655,6372805;1,387733288
01285;1154,743818;4,155059419
01286;973,9404186;2,094706857
01288;2410,26613;1,598780252
01289;6690,64149;3,769619384
01290;1225,302377;2,401444591
01291;834,6371811;1,717087132
01293;154,6200842;2,122438248
01294;871,3740374;2,971376644
01295;596,9219236;2,34597159
01296;407,3515496;2,473832844
01297;794,0462196;1,778710351
01298;136,2477895;0
01299;542,1859337;3,463398585
01301;2559,629615;2,892500648
01302;164,6890578;4,479024373
01303;1705,382686;2,45259177
01304;2959,319111;4,929368003
01305;2475,218317;2,344922457
01306;1705,570721;3,968446067
01307;873,2854015;2,87429757
01308;792,5575346;1,411038425
01309;89,27359975;1,598814068
01310;246,3083015;1,627310045
01311;46,22401456;0,686928014
01313;7621,126924;2,766674435
01314;1690,55748;3,985669626
01317;318,2529319;2,321305127
01318;691,4439636;3,522016844
01319;459,6266729;2,89314347
01320;3731,106155;3,565971737
01321;869,451893;3,685064328
01322;4763,208868;2,863968977
01323;989,8637368;2,274528695
01325;942,2268828;1,609114046
01328;612,7545622;3,38256432
01329;167,5708725;1,562344216
01330;196,435615;1,451839077
01331;183,1131364;1,495695277
01332;731,8010231;3,235188682
01333;3343,482512;2,956804737
01334;598,1021847;2,300219819
01335;372,9910328;3,126426283
01336;1145,941424;2,616279332
01337;1268,310845;1,966166004
01338;1200,606873;1,547760653
01339;1517,09666;5,138529866
01342;533,172182;1,970952352
01343;1729,981832;3,014960696
01344;6010,689897;3,993501414
01345;2280,795622;5,793492169
01346;864,224943;1,983414753
01347;1916,17283;3,499237244
01348;2864,117459;2,793751858
01349;453,7478999;2,587609683
01350;2488,496691;3,201435478
01351;1486,659135;2,235373081
01352;566,3555911;1,511782385
01353;1569,469564;3,668210886
01354;11497,22774;2,529969458
01355;459,8117019;3,34616881
01356;204,7491898;2,653452867
01357;478,0994361;1,760741436
01358;444,4234348;1,721017336
01359;241,1846784;3,550236928
01360;1694,448618;2,024670281
01361;1446,429059;3,11527154
01362;739,7376383;3,720368314
01363;1728,237874;4,124345301
01364;772,0211439;2,381860114
01365;1145,218349;2,798578665
01366;953,6408007;3,630156172
01367;761,6986534;2,931185697
01368;784,9536356;2,36103294
01369;948,0437311;3,703865898
01370;1735,839781;4,256185233
01371;1177,324306;2,828137194
01372;429,7573103;4,36318484
01373;1032,597558;3,280063017
01374;1812,19063;2,245680525
01375;790,2860932;2,961691105
01376;3936,944698;4,226251922
01378;2496,970248;2,088484736
01379;730,6572015;5,046940279
01380;699,7147014;1,967987142
01381;857,2485621;2,303251337
01382;277,9799045;3,39560992
01383;1497,172598;2,800770744
01384;2310,503323;1,850500455
01385;988,2438586;2,456266995
01386;1129,653619;4,558669051
01387;236,133428;1,979961922
01388;1224,784745;2,120397682
01389;1800,627004;3,130119108
