codgeo;libgeo;an;apl_mg_65_hmep
03401;Moulins;2018;3,40
03501;Montluçon;2018;3,40
03502;Vichy;2018;3,30
04101;Aiglun;2018;4,70
04102;Gréoux-les-Bains;2018;5,30
04103;Peyruis;2018;3,20
04104;Volx;2018;4,30
04105;Valensole;2018;1,10
04106;Barcelonnette;2018;4,50
04107;Les Mées;2018;3,80
04108;Villeneuve;2018;2,80
04201;Forcalquier;2018;3,40
04202;Oraison;2018;3,90
04203;Château-Arnoux-Saint-Auban;2018;4,10
04204;Sisteron;2018;3,60
04301;Digne-les-Bains;2018;3,10
04401;Manosque;2018;4,50
05101;L'Argentière-la-Bessée;2018;3,90
05102;Tallard;2018;2,30
05103;Chorges;2018;3,50
05104;Guillestre;2018;4,20
05105;Veynes;2018;5,40
05106;Laragne-Montéglin;2018;3,00
05201;Embrun;2018;4,90
05301;Briançon;2018;3,80
05401;Gap;2018;5,10
06101;Breil-sur-Roya;2018;8,80
06102;L'Escarène;2018;2,90
06103;Saint-Martin-du-Var;2018;4,00
06104;Roquebillière;2018;4,70
06105;Saint-Vallier-de-Thiey;2018;2,80
06106;Sospel;2018;3,20
06107;Saint-Cézaire-sur-Siagne;2018;3,50
06108;Levens;2018;2,90
06501;Menton-Monaco (partie française);2018;3,10
06701;Nice;2018;4,00
07101;Lavilledieu;2018;4,00
07102;Lamastre;2018;3,50
07103;Lalevade-d'Ardèche;2018;3,20
07104;Villeneuve-de-Berg;2018;2,60
07105;Cruas;2018;2,00
07106;Vallon-Pont-d'Arc;2018;4,40
07107;Le Cheylard;2018;4,40
07108;Viviers;2018;3,30
07109;Chomérac;2018;3,00
07110;Peaugres;2018;4,10
07111;Saint-Julien-en-Saint-Alban;2018;3,40
07112;Le Pouzin;2018;4,00
07113;Les Vans;2018;3,80
07114;Ruoms;2018;4,10
07201;Bourg-Saint-Andéol;2018;3,00
07202;La Voulte-sur-Rhône;2018;2,90
07203;Charmes-sur-Rhône;2018;2,90
07301;Privas;2018;2,80
07401;Annonay;2018;3,90
07402;Aubenas;2018;3,50
08101;Donchery;2018;3,90
08102;Monthermé;2018;2,30
08103;Rocroi;2018;4,00
08104;Vireux-Wallerand;2018;4,00
08105;Carignan;2018;3,10
08106;Vouziers;2018;4,10
08201;Nouvion-sur-Meuse;2018;3,00
08202;Fumay;2018;3,50
08203;Bogny-sur-Meuse;2018;1,80
08204;Revin;2018;3,10
08205;Vrigne aux Bois;2018;4,70
08206;Nouzonville;2018;2,80
08207;Givet;2018;3,20
08208;Rethel;2018;4,40
08401;Sedan;2018;3,80
08501;Charleville-Mézières;2018;4,80
09101;Laroque-d'Olmes;2018;5,00
09102;Montgaillard;2018;3,10
09103;Mirepoix;2018;2,80
09104;La Tour-du-Crieu;2018;5,40
09105;Mazères;2018;3,90
09106;Saverdun;2018;3,10
09201;Tarascon-sur-Ariège;2018;2,80
09202;Lavelanet;2018;3,60
09203;Saint-Girons;2018;4,10
09301;Foix;2018;4,30
09401;Pamiers;2018;4,90
10101;Marigny-le-Châtel;2018;1,70
10102;Lusigny-sur-Barse;2018;1,90
10103;Vendeuvre-sur-Barse;2018;0,80
10104;Villenauxe-la-Grande;2018;1,20
10105;Saint-Lyé;2018;3,10
10106;Bar-sur-Seine;2018;3,20
10107;Brienne-le-Château;2018;3,20
10108;Arcis-sur-Aube;2018;3,20
10109;Aix-Villemaur-Pâlis;2018;2,90
10201;Bar-sur-Aube;2018;3,40
10202;Nogent-sur-Seine;2018;1,70
10301;Romilly-sur-Seine;2018;3,00
10601;Troyes;2018;4,00
11101;Argeliers;2018;3,60
11102;Canet;2018;3,20
11103;Palaja;2018;2,10
11104;Ouveillan;2018;3,10
11105;Pennautier;2018;3,40
11106;Vinassan;2018;4,30
11107;Sallèles-d'Aude;2018;2,80
11108;Rieux-Minervois;2018;3,40
11109;Bram;2018;3,70
11110;Conques-sur-Orbiel;2018;3,40
11111;Quillan;2018;4,40
11112;Cuxac-d'Aude;2018;4,40
11113;Saint-Nazaire-d'Aude;2018;3,50
11114;Espéraza;2018;4,00
11201;Gruissan;2018;2,40
11202;Sigean;2018;4,80
11203;Port-la-Nouvelle;2018;3,40
11204;Trèbes;2018;4,50
11205;Coursan;2018;3,70
11206;Villemoustaussou;2018;3,30
11207;Fleury;2018;1,80
11301;Lézignan-Corbières;2018;3,00
11302;Limoux;2018;3,60
11303;Castelnaudary;2018;3,50
11401;Carcassonne;2018;4,00
11501;Narbonne;2018;4,80
12101;Laissac-Sévérac l'Église;2018;2,80
12102;Valady;2018;2,60
12103;Baraqueville;2018;3,40
12104;Sébazac-Concourès;2018;3,10
12105;Sévérac d'Aveyron;2018;3,00
12106;Capdenac-Gare;2018;4,10
12201;Espalion;2018;4,10
12202;Saint-Affrique;2018;4,20
12301;Villefranche-de-Rouergue;2018;2,90
12302;Decazeville;2018;3,30
12401;Millau;2018;3,70
